CID,z,width,bands,err
1261784,0.26572,1.3385236210937501,4,0.07993566535547057
1261963,0.28053,1.1674832109375002,4,0.07674033813287003
1262016,0.46812,1.6235342656249998,3,0.10212642746872803
1262055,0.5813,1.4785052050781247,3,0.12117992699148618
1262084,0.45416,1.4631774960937498,3,0.10341623531227795
1262131,0.33852,1.4246692517089845,4,0.08146053582019688
1262135,0.38378,1.3399062460937499,3,0.10121993713456424
1262181,0.47001,1.8400007981770834,3,0.2577592540338131
1262252,0.45401,1.6516644843750001,3,0.12001508020700992
1262267,0.56332,1.3325878098958326,3,0.150453817747896
1262550,0.29304,1.267532765625,4,0.07520941329594101
1262573,0.23837,1.0325393613281253,4,0.12707034774017795
1262588,0.40759,1.122910420898437,3,0.15049086303566636
1262726,0.25478,1.0909478847656247,2,0.13585065836690585
1262736,0.5305,1.4789851236979166,3,0.1115973589321138
1262746,0.23176,1.308023265625,4,0.07163973145538838
1262803,0.6147,1.4083947428385415,3,0.1331010103164445
1262895,0.70615,1.466083809407552,3,0.1248583497364862
1263039,0.6565,1.836978694661459,3,0.2550323644286863
1263062,0.5095,1.5573597981770841,3,0.12177267183510332
1263090,0.65341,1.60238680078125,3,0.1363611081504699
1263125,1.02947,2.35370954296875,2,0.2638066580079383
1263130,0.68084,1.4953566796874995,3,0.12985982802892446
1263139,0.72801,1.75501015625,3,0.16152013981405602
1263197,0.33826,1.1435490510253907,4,0.08037213539215976
1263244,0.45902,1.2388134169921878,2,0.12368358452799498
1263369,0.31343,1.384584813720703,4,0.08598317953296183
1263580,0.58393,1.4587417825520828,3,0.13585991221447377
1263715,0.29279,1.4269927119140624,4,0.07615240458030459
1263785,1.06498,2.14241675,2,0.2439017132032884
1263788,0.75796,1.50387984375,2,0.15211946267469656
1263829,0.50128,1.2297105677083338,3,0.09537993256802625
1263852,0.66144,1.36338675,3,0.15634234389144155
1263856,0.69849,1.3582391061197925,3,0.15517747738026455
1263930,0.43631,1.347008173828125,3,0.11432279169584397
1263936,0.49575,1.7421202799479165,3,0.5146542011869378
1264038,0.66425,1.673784765625,3,0.13058022942376266
1264039,0.42517,1.4403866588541667,3,0.10189210808866306
1264049,0.54508,1.7917294895833338,3,0.1285787349241593
1264068,0.33147,1.3153792370605468,4,0.0906149548735254
1264077,0.56572,1.6477775911458334,3,0.253211965022133
1264375,0.4969,1.3425321874999998,3,0.10037022811272793
1264434,0.31179,1.3595729755859376,4,0.08185567208622231
1264499,0.44958,1.270317160807292,3,0.09740597386362587
1264512,0.36136,1.3604293828125,4,0.09948675722358273
1264606,0.68176,1.8468702916666675,3,0.13274358581101406
1264689,0.73303,1.741153578125,2,0.15096050601972275
1264948,0.50502,1.706718155598959,3,0.1149127798213272
1264963,0.55325,1.3674364013671876,2,0.1610730554525943
1265040,0.431,1.610433984375,3,0.11812314110009925
1265089,0.44588,1.479956078125,3,0.14996164269113008
1265136,1.05386,1.9192760097656254,2,0.2128864744401732
1265165,0.31845,1.1809397851562495,3,0.098098194426203
1265169,0.68453,1.4518104257812494,3,0.1823757204746812
1265231,0.68533,1.7017883007812502,2,0.16892676273227847
1265260,0.6044,1.4092815624999995,3,0.11999027686921039
1265426,0.4208,1.362525,3,0.09001030305279573
1265623,0.71045,1.6525441406249997,3,0.15077499837563754
1265832,0.39978,1.201842359375,2,0.19704142209830994
1265990,0.58691,1.3079609765625004,2,0.2984919126698367
1266015,0.36259,1.3620577382812498,2,0.17613967230867905
1266634,0.49927,1.6343604739583333,3,0.1979288519458461
1266830,0.5717,1.5838254199218749,2,0.2057439021836803
1267094,0.6238,1.7967516145833333,3,0.574537212741058
1271436,0.79583,1.998796203125,3,0.14736080944988422
1273127,0.19024,1.0830719062499998,2,0.1166809978313086
1275873,0.40288,1.1445893333333341,3,0.12852563730404812
1275946,0.233,1.4600634521484377,4,0.07212032308309343
1276546,0.35428,1.37239878515625,4,0.08794309636742693
1277173,0.15035,1.0589061621093747,2,0.10930355997771282
1277710,0.68245,1.8287880989583332,3,0.13024225170792397
1277715,0.34655,1.3690692077636717,4,0.08374825207738278
