radius_kpc,baryon_projected_mass_Msun,field_equivalent_projected_mass_Msun,baryon_surface_density_Msun_kpc2,field_equivalent_surface_density_Msun_kpc2,sigma_Msun_kpc2,delta_sigma_Msun_kpc2,alpha_rad,theta_arcsec,beta_arcsec,kappa,gamma_t,reduced_shear_t,lambda_t,lambda_r,signed_magnification
29.20786017001269,252728161742.0938,1345397543720.09,72075948.4747377,488157686.487352,560233634.9620898,36061934.88502574,1.047347669189305e-05,30.12276805821398,28.394520347814904,0.05390371640928464,0.003469752956450134,0.003667441693440962,0.9426265306342653,0.9495660365471655,1.1172109105845256
29.952722712348415,262558997009.6011,1412882722542.6338,69586369.58040874,486788335.53342915,556374705.1138378,38063673.17080879,1.07071205825266e-05,30.890962697171698,29.124160977352933,0.0535324237070934,0.003662353197043969,0.0038694967358401805,0.9428052230958627,0.9501299294899506,1.1163362343122718
30.716580833399764,272589600699.1993,1483649957944.292,68769170.32524721,485357302.0240784,554126472.3493257,38373234.80972469,1.0944364740514771e-05,31.678747932922604,29.872798116926187,0.053316106631863654,0.0036921381327457412,0.00390007494435102,0.9429917552353906,0.950376031500882,1.1158263924995382
31.499918960816476,283123732487.40393,1557848631969.0688,68542857.4071114,483862292.91634744,552405150.3234589,38174561.42248905,1.118709965921396e-05,32.486623367342666,30.640619414614317,0.05315048706077587,0.0036730224758924237,0.0038792040611507245,0.9431764904633317,0.9505225354151166,1.1154358927141543
32.3032338761834,294103388185.1561,1635633933006.8042,67852622.19276217,482300981.1102363,550153603.3029984,38495274.018922925,1.143488677614262e-05,33.31510134321798,31.428209581207565,0.05293385109945718,0.0037038803176359437,0.003910899277664828,0.9433622685829068,0.9507700292181788,1.1149259272143544
33.12703503007221,305545957414.19403,1717166987655.1733,67323460.56337541,480671011.06745946,547994471.6308348,38709796.07361567,1.1687762048771142e-05,34.16470726916524,32.23608809191409,0.05272610701898174,0.0037245208777131286,0.003931831020901746,0.9435493721033051,0.9509984138587314,1.1144371409974219
33.9718448651274,317520631650.72644,1802614986661.493,67326408.452733,478970005.27015644,546296413.7228894,38460688.38843775,1.1946046044264935e-05,35.035979952838005,33.064740857008104,0.052562725839766,0.003700552609513536,0.003905854994773707,0.9437367215507204,0.9511378267697476,1.1140525882533865
34.83819914739192,330057644120.32294,1892151304008.348,66566259.351596504,477195571.58817077,543761830.9397672,39043646.1269809,1.22098089613674e-05,35.9294719426308,33.91470884125999,0.05231885716957,0.003756642759508108,0.003964036625534385,0.9439245000709219,0.9514377855899382,1.1134798091478817
35.726647306081986,343093933307.9376,1985955608186.7063,65858953.34336657,475345311.6253562,541204264.9687228,39619434.40472615,1.247860788752378e-05,36.845749878097116,34.78663177004099,0.05207277713760165,0.0038120430891178617,0.004021451222391173,0.9441151797732805,0.9517392659515163,1.1129022801301909
36.63775278202716,356686433213.2516,2084213964692.8523,65439407.10209681,473416830.1165924,538856237.2186892,39962431.12740004,1.2752663626911073e-05,37.78539484930396,35.68105429811351,0.05184685813870486,0.0038450450313692918,0.004055299573042791,0.9443080968299259,0.9519981868926645,1.1123722989862077
37.572093384996315,370932601623.24133,2187118928794.027,65177624.010409154,471407745.44766366,536585369.45807284,40219117.28934628,1.303237505754222e-05,38.749002765350745,36.598506514980194,0.05162836320349889,0.0038697424740365355,0.004080407220009357,0.9445018943224646,0.9522413792705376,1.1118600271968255
38.53026166013603,385771615801.37585,2294869627635.7866,64368368.69910587,469315701.36970735,533684070.0688132,41073772.409498096,1.3317306988579268e-05,39.73718473228598,37.53967133833258,0.05134921034701667,0.003951974393631159,0.004165889531464779,0.9446988152593522,0.9526027640466145,1.1112065481872995
39.512865263754186,401215220246.94275,2407671830815.615,63869098.67501603,467138379.97835886,531007478.6533749,41666376.38633013,1.3607408626694575e-05,40.75056744066198,38.50518384022367,0.05109167810404259,0.0040089926708581775,0.004224847204256831,0.9448993292250992,0.9529173145668156,1.1106040200006175
40.520527348686564,417356937353.398,2525738008626.6426,63667596.21623504,464873516.02481425,528541112.2410493,42022699.20026767,1.3903010744746908e-05,41.78979356297265,39.495632111707735,0.05085437297390633,0.004043276802895247,0.0042599119542528225,0.9451023502231984,0.9531889038289889,1.110049073860735
41.553886959491415,434260175849.5969,2649287377287.3096,63106665.03839765,462518912.6215304,525625577.6599281,42805049.2653805,1.4204261876589929e-05,42.855522161227135,40.51165070494872,0.05057385045716588,0.004118551783565554,0.00433793801187034,0.9453075977592685,0.9535447013263997,1.109393952978986
42.61359943772203,451857281710.57086,2778545930622.7036,62537214.49811409,460072458.3989516,522609672.8970657,43643205.010950744,1.451069415491017e-05,43.94842910491722,41.55399269308691,0.05028367067339451,0.004199196191177904,0.004421526788062426,0.9455171331354276,0.9539155255177835,1.1087169318264698
43.70033683753491,470217856590.8379,2913746457856.9863,62104734.34302158,457532146.1611637,519636880.50418526,44398481.64471978,1.4822472877433347e-05,45.069207499643966,42.623323905640724,0.04999763901072872,0.004271866261192533,0.0044966901521635025,0.9457304947280788,0.9542742272504638,1.1080501385545531
44.81478835189654,489437685994.4998,3055128547419.6387,61845228.74144733,454896093.07743984,516741321.8188872,45044175.86677116,1.5139844706391023e-05,46.218568126674995,43.720314421687895,0.049719038504657156,0.004333992695702176,0.004560748737807283,0.9459469687996407,0.954614954191045,1.1074011667340165
45.95766074965961,509487215530.0508,3202938576968.094,61229816.30045265,452162562.43291426,513392378.7333669,46097299.38288146,1.5462493876624484e-05,47.39723989371178,44.845745253921265,0.049396814940973886,0.004435320548608043,0.004665796010700974,0.9461678645104181,0.9550385056076341,1.1066516206281682
47.1296788237854,530386313853.5919,3357429690191.976,60733050.77794845,449329986.94474804,510063037.7226965,47080208.316218674,1.579031876240916e-05,48.60597029715202,46.00038066818683,0.04907647742021592,0.004529892600502691,0.00476367709173229,0.9463936299792814,0.9554534151802868,1.1059071716885096
