name,ra_deg,dec_deg,distance_mpc,method,status,inside_nominal_11mpc,exposure
UGC12894,0.09375,39.495555555555555,8.47,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIZSS021,116.56875000000001,-28.46972222222222,3.0,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH40,116.735,51.29611111111111,6.98,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
CGCG 262-028,116.88375,51.19138888888889,7.1,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC174605,117.59041666666666,7.794444444444444,6.0,h',excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC04115,119.2575,14.390833333333333,7.73,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIPASS J0801-21,120.35583333333334,-21.997500000000002,6.34,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2500,120.47166666666669,50.73722222222222,12.4,mem,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0812+4836,123.16458333333331,48.612500000000004,12.42,mem,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2537,123.31125000000002,45.99055555555556,12.2,mem,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC2233,123.49541666666667,45.742222222222225,12.2,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2541,123.66708333333332,49.06166666666666,12.4,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HolmII,124.76666666666667,70.71416666666667,3.39,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2552,124.83541666666666,50.00972222222222,12.4,mem,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO006-001,124.84708333333332,-85.14555555555556,6.7,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO495-008,125.25291666666666,-23.781388888888888,17.3,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG052,125.98333333333333,71.02944444444444,3.55,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KUG 0821+321,126.27083333333331,32.0175,8.15,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
CGMW2-3473,126.30375,-28.140277777777776,7.4,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO052,127.11875,41.85666666666667,10.28,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO053,128.52708333333334,66.17916666666667,3.56,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO495-021,129.0633333333333,-26.409444444444443,7.96,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC04483,129.2625,69.77527777777777,3.21,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO496-010,132.275,-26.32,7.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC182595,132.80041666666668,27.88,6.1,h',excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UMa II,132.875,63.13,0.03,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2683,133.17041666666665,33.41722222222222,7.73,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK69,133.21125,33.797777777777775,7.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK70,133.84166666666664,33.55916666666666,7.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC04704,134.75124999999997,39.21,15.2,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LSBC D564-08,135.725,20.075277777777778,8.67,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO497-004,135.76291666666668,-23.808333333333334,19.0,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIPASS J0905-36,136.5,-36.059999999999995,7.93,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC04787,136.89541666666665,33.276666666666664,20.3,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH46,137.1525,5.292222222222222,5.6,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LSBC D634-03,137.22291666666666,14.581944444444444,9.55,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK71,137.29541666666668,-23.36777777777778,9.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO056,137.4441666666667,-23.009166666666665,9.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK72,137.92624999999998,-23.98222222222222,9.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2784 dw01,138.07708333333332,-24.211111111111112,9.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2784,138.08083333333335,-24.171666666666667,9.82,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK73,138.1220833333333,-24.241111111111113,9.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGCA153,138.30041666666668,-19.40861111111111,21.9,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0913+1937,138.41250000000002,19.61888888888889,4.43,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC198507,138.8575,25.419444444444444,21.7,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC04879,139.00916666666666,52.84,1.36,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIPASS J0916-23b,139.2416666666667,-23.279722222222222,10.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2835,139.47041666666667,-22.35527777777778,10.3,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2787,139.8275,69.20333333333333,7.48,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LSBC D565-06,139.87249999999997,21.603333333333335,9.08,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC04932,139.89208333333332,51.10916666666667,20.6,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO062,140.36458333333334,-22.500555555555554,18.6,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC198508,140.7375,24.946666666666665,10.4,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO565-003,140.79125,-20.1675,7.52,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MCG +09-16-010,140.82083333333333,51.973055555555554,7.35,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC04998,141.30041666666665,68.38305555555554,8.24,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0926+3343,141.5391666666667,33.717777777777776,19.7,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2915,141.54791666666668,-76.62638888888888,3.78,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0926+70,141.61625,70.50666666666666,3.93,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05047,142.20666666666665,51.56055555555555,19.68,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG056,142.55375,19.991666666666667,8.9,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2903-HI-1,142.66625,21.723611111111108,8.9,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2903,143.04,21.500555555555554,8.87,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO373-007,143.18916666666667,-33.245555555555555,8.3,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05086,143.20374999999999,21.465,8.9,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0934+70,143.51541666666665,70.21583333333334,3.66,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
CGCG 035-007,143.68708333333333,6.4255555555555555,13.0,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeoT,143.7225,17.05138888888889,0.42,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0935-1348,143.84,-13.814444444444446,7.3,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0939+71,144.81625,71.31166666666667,3.63,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0939-2507,144.89583333333334,-25.12638888888889,6.15,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KISSB023,145.05291666666668,29.591388888888886,19.8,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KUG 0937+480,145.08166666666665,47.77722222222222,7.88,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG058,145.11249999999998,0.042499999999999996,10.0,txt,excluded_unmeasured_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HolmI,145.13458333333332,71.1863888888889,3.84,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05186,145.74916666666664,33.26444444444444,8.3,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0944-2254,146.08375,-22.91611111111111,6.05,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0944+69,146.09374999999997,69.21111111111111,3.98,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0944+71,146.14333333333332,71.4825,3.39,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC0559,146.18291666666667,9.615277777777777,9.4,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
F8D1,146.20833333333331,67.47555555555556,3.77,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05209,146.26749999999998,32.23833333333334,6.56,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
FM1,146.29166666666669,68.765,3.4,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
RKK1610,146.35333333333335,-48.14138888888889,14.9,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2976,146.815,67.91361111111112,3.56,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC191803,147.02458333333334,7.129166666666666,14.9,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK77,147.54166666666669,67.50666666666666,3.48,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK78,147.58166666666668,31.456666666666667,7.1,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO064,147.59333333333333,31.4875,7.11,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05288,147.82166666666666,7.827222222222222,6.85,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3037,147.85,-27.011111111111113,8.1,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
BK3N,148.45208333333335,68.96916666666667,4.02,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0954+3620,148.71083333333334,36.33388888888889,15.4,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKSG15,148.79375,-6.27,9.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0955+70,148.80666666666664,70.40805555555556,3.93,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MESSIER081,148.88958333333332,69.06666666666666,3.63,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MESSIER082,148.97458333333333,69.6825,3.53,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0956-0929,149.15666666666667,-9.486388888888888,5.18,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO068,149.19041666666666,28.825,9.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG061,149.26125,68.59166666666667,3.6,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ClumpI,149.3383333333333,68.71527777777779,3.6,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
A0952+69,149.37083333333334,69.27222222222223,3.87,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HolmIX,149.385,69.04305555555555,3.61,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0958+66,149.70208333333335,66.84972222222221,4.04,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeoA,149.85999999999999,30.74638888888889,0.81,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d0959+68,149.88791666666665,68.65694444444445,3.6,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKSG16,149.94791666666666,-9.343333333333334,9.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
SexB,150.00041666666667,5.332222222222222,1.36,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH57,150.06666666666666,63.184999999999995,3.91,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J1000+5022,150.10625000000002,50.37916666666667,7.97,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J1000+3032,150.15208333333334,30.53611111111111,7.1,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ClumpIII,150.16833333333335,68.66027777777778,3.6,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MCG -01-26-009,150.39000000000001,-6.525,9.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKSG17,150.41000000000003,-8.248888888888889,9.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGCA193,150.6508333333333,-6.0119444444444445,9.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3109,150.78000000000003,-26.16,1.32,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3077,150.8375,68.73388888888888,3.82,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
GARLAND,150.925,68.69333333333334,3.82,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO499-038,150.95916666666668,-26.61277777777778,15.3,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3104,150.98916666666668,40.75694444444444,16.0,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Antlia,151.01666666666665,-27.331944444444446,1.32,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
BK5N,151.16791666666666,68.25555555555556,3.78,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05427,151.17083333333332,29.366388888888892,7.11,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG063,151.28041666666667,66.55499999999999,3.5,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3115,151.30833333333334,-7.7186111111111115,9.68,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05423,151.3775,70.36444444444444,8.71,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG065,151.39333333333335,-7.7491666666666665,9.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKSG18,151.42333333333335,-7.981388888888889,9.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d1006+67,151.6925,67.20111111111112,3.87,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG064,151.7579166666667,67.8275,3.7,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Segue 1,151.76333333333335,16.07361111111111,0.02,CMD,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05456,151.83208333333334,10.362222222222222,5.6,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH58,151.84458333333333,38.969722222222224,18.4,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IKN,152.02458333333334,68.39916666666667,3.75,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeoI,152.11208333333335,12.308055555555557,0.25,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d1009+70,152.39541666666665,70.54861111111111,9.0,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
SexA,152.75333333333333,-4.692777777777778,1.32,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05497,153.20166666666665,64.10749999999999,3.7,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
SexDSph,153.2625,-1.6144444444444446,0.09,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d1014+68,153.7325,68.7575,4.57,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d1015+69,153.77875,69.0375,4.07,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KUG 1013+414,154.065,41.16638888888889,11.12,mem,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3184,154.57083333333335,41.42444444444444,11.12,SN,indicator_candidate,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J1018+4109,154.59250000000003,41.16583333333333,11.1,mem,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIJASS J1021+6842,155.25083333333333,68.7,3.7,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HS117,155.355,71.11611111111111,3.96,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J1021+0054,155.41208333333333,0.9,6.78,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeoP,155.43791666666667,18.088055555555556,2.0,txt,excluded_unmeasured_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC731448,155.93749999999997,27.110833333333336,13.5,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKSG19,156.11791666666667,-12.4325,5.11,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3239,156.27041666666665,17.16361111111111,7.9,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO078,156.61625,67.65666666666667,3.72,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05672,157.08708333333334,22.57138888888889,11.4,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC2574,157.09333333333333,68.41611111111112,4.02,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J1028+4240,157.13750000000002,42.66888888888889,7.55,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d1028+70,157.1654166666667,70.23361111111112,4.0,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC749315,157.27666666666664,26.910555555555554,21.5,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO082,157.64583333333334,70.61944444444444,4.0,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J1030+0607,157.68458333333334,6.127222222222222,7.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC205156,157.72041666666667,12.446666666666667,10.43,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC731457,157.98250000000002,28.02583333333333,9.2,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3274,158.07125,27.66861111111111,7.98,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
BK6N,158.63291666666666,66.01166666666667,3.85,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UMa I,158.72,51.919999999999995,0.1,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC202248,158.73375000000001,11.492222222222221,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO501-023,158.84666666666666,-24.754166666666666,7.0,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG03,158.95333333333335,8.479722222222222,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KUG 1033+366B,159.07333333333332,36.42527777777777,8.1,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3299,159.09916666666666,12.7075,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO083,159.18041666666667,31.546666666666667,10.9,txt,excluded_unmeasured_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC205165,159.27,15.3375,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC200499,159.53333333333333,10.380833333333333,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC208397,159.74208333333334,3.8741666666666665,26.2,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05797,159.855,1.7186111111111113,7.0,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG04,159.9175,12.735,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG05,159.93041666666667,12.634444444444444,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG06,159.98208333333332,13.907777777777778,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC208399,160.04458333333332,4.908888888888889,20.9,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC05812,160.23583333333335,12.471944444444444,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[CKT2009]d1041+70,160.32000000000002,70.15083333333334,3.91,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
FS04,160.50124999999997,12.335,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG09,160.64416666666665,12.150555555555556,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO084,160.67458333333332,34.44888888888889,8.11,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC205268,160.7183333333333,13.74111111111111,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO376-016,160.86291666666668,-37.0425,7.1,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3344,160.87583333333333,24.92361111111111,6.85,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG10,160.98083333333335,12.135277777777777,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3351,160.99041666666668,11.70361111111111,10.05,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG11,161.00875,15.58888888888889,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG12,161.0325,11.533055555555556,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC205445,161.1470833333333,13.939722222222223,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG13,161.23999999999998,11.916111111111112,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG14,161.56,12.959999999999999,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK93,161.60333333333335,14.025,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG16,161.625,11.755833333333333,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LeG17,161.67291666666668,12.32638888888889,10.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC3368,161.69083333333336,11.819722222222222,10.42,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
